name,title,book(s),house,dateOfBirth,dateOfDeath,,culture,alias,reign,full name,other titles,born in,died in,royal house,predecessor,heir,successor,queen,issue,books,father,mother,coronation,spouse,personal arms,race,wife,actor,tv series,buried in,location,government,founded,religion,notable places,organizations,named for,current commander,size,banner,motto/war cry,founder,coat of arms,seat,current lord,region,overlord,words,cadet branch,ancestral weapon,population,conflict,date,place,result,author,country,language,series,genre(s),publisher,released,media type,pages,followed&#160;by,cover artist,isbn,purchase,disbanded
Aegon III Targaryen,,,,,,,Valyrian,"<a href=""#cite_note-Rthk.7B.7B.7B2.7D.7D.7D.7B.7B.7B3.7D.7D.7D-0"">[1]",131 AC, Aegon Targaryen the Third of His Name,Andals,120 AC,157 AC,House Targaryen,Aegon II Targaryen,Daeron I Targaryen,Daeron I Targaryen,Jaehaera Targaryen,Daeron I Targaryen,The World of Ice and Fire,Daemon Targaryen,Rhaenyra Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon II Targaryen,,,,,,,,"<a href=""#cite_note-Rtrp.7B.7B.7B2.7D.7D.7D.7B.7B.7B3.7D.7D.7D-0"">[1]",129 AC, Aegon Targaryen the Second of His Name,Andals,107 AC,131 AC,House Targaryen,Viserys I Targaryen,Jaehaerys Targaryen,Aegon III Targaryen,Helaena Targaryen,Jaehaerys Targaryen,The World of Ice and Fire,Viserys I Targaryen,Alicent Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon I Targaryen,,,,,,,, Aegon the Conqueror<br>Aegon the Dragon<br>Aegon the Dragonlord,1 AC, Aegon Targaryen the First of His Name,King of All Westeros,27 BC,37 AC,House Targaryen, none,Aenys Targaryen,Aenys I Targaryen,Visenya Targaryen,Aenys I Targaryen,The World of Ice and Fire,Aerion Targaryen,Valaena Velaryon,1 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon Targaryen (son of Baelon), Prince,The World of Ice and Fire,House Targaryen,,,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon Targaryen (son of Aenys I), Prince,The World of Ice and Fire,House Targaryen,26 AC,43 AC,,Valyrian,,,,,,,,,,,,,,,,,Rhaena Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon Targaryen (son of Jaehaerys I), Prince,The World of Ice and Fire,House Targaryen,50 AC,,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon Targaryen (son of Rhaegar),,The World of Ice and Fire,House Targaryen,281 AC,283 AC,,Valyrian, Young Griff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemma Arryn, Queen,The World of Ice and Fire,House Arryn,82 AC,105 AC,,,,,,,,,,,,,,,,,,,Viserys I Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegor Rivers,Ser,The Sworn Sword,House Bracken,172 AC,241 AC,,, Bittersteel,,,,,,,,,,,,,,,,Calla Blackfyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon V Targaryen,,,,,,,, Aegon the Unlikely<br>Aegon the Fortunate<br>Egg<br>The Prince Who Was An Egg,233 AC, Aegon Targaryen the Fifth of His Name,Andals,200 AC,259 AC,House Targaryen,Maekar I Targaryen,Duncan Targaryen,Jaehaerys II Targaryen,Betha Blackwood,Duncan Targaryen,The Hedge Knight,Maekar I Targaryen,Dyanna Dayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemon Costayne,,A Storm of Swords,House Costayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemon Estermont,Ser,A Clash of Kings,House Estermont,,,,Stormlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemon Rivers,Ser,A Clash of Kings,House Frey,,,,,,,,,,,,,,,,,,,,,," Quarterly, blue over a castle argent a bend sinister gules; Or three mistletoes a bordure vert.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemon Blackfyre,,The Sworn Sword,House Blackfyre,184 AC,196 AC,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aenys Frey,Ser,A Game of Thrones,House Frey,240 AC,300 AC,,,,,,,,,,,,,,,,,,,Tyana Wylde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aenys I Targaryen,,,,,,,,,37 AC, Aenys Targaryen the First of His Name,Andals,7 AC,42 AC,House Targaryen,Aegon I Targaryen,Aegon Targaryen,Maegor I Targaryen,Alyssa Velaryon,Rhaena Targaryen,The World of Ice and Fire,Aegon I Targaryen,Rhaenys Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerion Targaryen, Prince,The World of Ice and Fire,House Targaryen,191 AC,232 AC,,Valyrian, Brightflame<br>Aerion the Monstrous<br>The Bright Prince<br>The Prince Who Thought He Was a Dragon,,,,,,,,,,,,,,,,Daenora Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aelinor Penrose, Lady<br>Queen,The World of Ice and Fire,House Penrose,,,,,,,,,,,,,,,,,,,,,Aerys I Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemond Targaryen,Protector of the Realm,The World of Ice and Fire,House Targaryen,110 AC,130 AC,,Valyrian, Aemond One-Eye<br> Aemond the Kinslayer,,,,,,,,,,,,,,,,,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethan,,A Storm of Swords,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethelmure, Grand Maester,A Game of Thrones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeron Greyjoy,Golden Storm,A Game of Thrones,House Greyjoy,269 AC,,,Ironmen, The Damphair<br>Aeron Damphair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerys I Targaryen,,,,,,,,,209 AC, Aerys Targaryen the First of His Name,Andals,172 AC,221 AC,House Targaryen,Daeron II Targaryen,Rhaegel Targaryen,Maekar I Targaryen,Aelinor Penrose, None,The World of Ice and Fire,Daeron II Targaryen,Mariah Martell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggar,,A Clash of Kings,House Greyjoy,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggo,,A Game of Thrones,House Targaryen,,,,Dothraki,,,,,,,,,,,,,,,,,,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerys II Targaryen,,,,,,,, The Mad King<br>King Scab,262 AC, Aerys Targaryen the Second of His Name,Andals,244 AC,283 AC,House Targaryen,Jaehaerys II Targaryen,Rhaegar Targaryen,Robert I Baratheon,Rhaella Targaryen,Rhaegar Targaryen,The World of Ice and Fire,Jaehaerys II Targaryen,Shaera Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aglantine, Septa,A Feast for Crows,Faith of the Seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrivane, Archmaester,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aladale Wynch,Ser,A Clash of Kings,House Wynch,,300 AC,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaric of Eysen,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alayaya,,A Clash of Kings,Chataya's brothel,282 AC,,,, 'Yaya,,,,,,,,,,,,,,,,,,Summer Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albett,,A Game of Thrones,Night's Watch,,,,, Pimple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albar Royce,Ser,A Game of Thrones,House Royce of the Gates of the Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alannys Harlaw,Iron Islands,A Game of Thrones,House Greyjoy,,,,Ironborn, Lanny,,,,,,,,,,,,,,,,Balon Greyjoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alebelly,,A Clash of Kings,House Stark,,299 AC,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alequo Adarys,,A World of Ice and Fire,Band of Nine,,266 AC,,Tyroshi, Silvertongue<br>The Tyrant of Tyrosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alesander Frey,,A Clash of Kings,House Frey,265 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alerie Hightower,Highgarden,A Game of Thrones,House Hightower,257 AC,,,,,,,,,,,,,,,,,,,,Mace Tyrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alesander Staedmon,Broad Arch,A Clash of Kings,House Staedmon,,,,, the Pennylover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alester Norcross,,A Clash of Kings,House Norcross,290 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfyn,,A Clash of Kings,,,299 AC,,Free Folk, Alfyn Crowkiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alester Oakheart,,A Feast for Crows,House Oakheart,,Prince's Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alester Florent,Brightwater,A Clash of Kings,House Florent,Brightwater Keep,300 AC,,,,,,,,,,,,,,,,,,,Melara Crane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alia,,A Game of Thrones,,,,,,,,,,,,,,,,,,,,,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All-for-Joffrey,,A Clash of Kings,,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alekyne Florent,Brightwater,A Clash of Kings,House Florent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicent Hightower, Lady<br>Queen<br>Dowager Queen,The World of Ice and Fire,House Hightower,88 AC,133 AC,,,,,,,,,,,,,,,,,,,Viserys I Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allaquo,,A Feast for Crows,,,,,Braavosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allar Deem,,A Clash of Kings,City Watch of King's Landing,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allard Seaworth,Lady Marya,A Clash of Kings,House Seaworth,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvyn Sharp,,A Feast for Crows,House Sharp,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyce,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliser Thorne,Ser,A Game of Thrones,House Thorne,"<a href=""#cite_note-0"">[1]",,Season 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allyria Dayne,,A Storm of Swords,House Dayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alla Tyrell,,A Storm of Swords,House Tyrell,286 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyce Graceford, Lady,A Storm of Swords,House Graceford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Connington,Ser,A Storm of Swords,House Connington,,,,, The Pale Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Ambrose,,A Clash of Kings,House Ambrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn,,A Game of Thrones,House Stark,,298 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Estermont,Ser,A Clash of Kings,House Estermont,,,,Stormlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Cockshaw, Lord,The World of Ice and Fire,House Cockshaw,,211 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Haigh,,A Clash of Kings,House Haigh,256 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Hunt,Ser,A Feast for Crows,House Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Stackspear, Ser,A Game of Thrones,House Stackspear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alys Frey,,A Clash of Kings,House Frey,,,,,,,,,,,,,,,,,,,,,Jared Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alys Arryn,,A Feast for Crows,House Arryn,"<a href=""#cite_note-0"">[1]",,,,,,,,,,,,,,,,,,,,Elys Waynwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alys Karstark,,A Storm of Swords,House Karstark,284 AC,,,Northmen,,,,,,,,,,,,,,,,,Sigorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alysane Mormont,,A Feast for Crows,House Mormont,273 AC,,,Northmen, The Young She-Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alysanne Bulwer,Blackcrown,A Storm of Swords,House Bulwer,291 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alysanne Bracken,,A Dance with Dragons,House Bracken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alysanne Lefford,Golden Tooth,A Feast for Crows,House Lefford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alysanne Hightower,,A Feast for Crows,House Hightower,,,,,,,,,,,,,,,,,,,,,Arthur Ambrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alysanne Osgrey,,The Sworn Sword,House Osgrey,188 AC,209 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Frey,,A Clash of Kings,House Frey,295 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssa Arryn,,A Game of Thrones,House Arryn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssa Blackwood, Lady,A Clash of Kings,House Blackwood,"<a href=""#cite_note-Calculation-0"">[1]",269 AC,,,,,,,,,,,,,,,,,,,Walder Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amabel,,A Clash of Kings,House Whent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alysanne Targaryen,,,,,,,, Good Queen Alysanne,,House Targaryen, Queen,36 AC,99 AC,House Targaryen,,,,,Aegon Targaryen,The World of Ice and Fire,Aenys I Targaryen,Alyssa Velaryon,,,,,Jaehaerys I Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrode,,A Clash of Kings,,,,,Ironborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn Velaryon,Lord of the Tides,The World of Ice and Fire,House Velaryon,115 AC,171 AC,,Valyrian, Alyn of Hull<br>The Oakenfist<br>Lord Oakenfist,,,,,,,,,,,,,,,,Baela Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyx Frey,,A Clash of Kings,House Frey,282 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrose Butterwell,Whitewalls,The Sworn Sword,House Butterwell,160 AC,,,, Old Milkblood<br>The lord of cows<br>Lord Butterbutt,,,,,,,,,,,,,,,,Lady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andar Royce,Ser,A Game of Thrones,House Royce,Runestone,,,Valemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amory Lorch,Ser,A Game of Thrones,House Lorch,,299 AC,Season 2,, The Manticore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amerei Frey, Lady of Darry,A Clash of Kings,House Frey,282 AC,,,, Gatehouse Ami,,,,,,,,,,,,,,,,Pate of the Blue Fork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Estermont,Ser,A Clash of Kings,House Estermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey Charlton,Ser,A Clash of Kings,House Charlton,,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders Yronwood,Yronwood,A Storm of Swords,House Yronwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey Dalt,Ser,A Feast for Crows,House Dalt,,,,Dornish, Drey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrik, Lord of Southshield,A Clash of Kings,House Drumm,,,,Ironborn, Andrik the Unsmiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Androw Ashford,Ser,The Hedge Knight,House Ashford,Ashford,,,Reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andros Brax,Hornvale,A Game of Thrones,House Brax,,298 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguy,,A Game of Thrones,Brotherhood without banners,Dornish Marches,,Season 3,, Anguy the Archer<br>Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annara Farring, Lady,A Clash of Kings,House Farring,,,,,,,,,,,,,,,,,,,,,Walder Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antario Jast, Lord,A Clash of Kings,House Jast,,,,,,,,,,,,,,,,,,,,,Lanna Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarei Crakehall,,A Clash of Kings,House Crakehall,245 AC,264 AC,,,,,,,,,,,,,,,,,,,Walder Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archibald Yronwood,Ser,A Dance with Dragons,House Yronwood,,,,, Big Man<br>Ser Greenguts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardrian Celtigar,Claw Isle,A Clash of Kings,House Celtigar,229 AC,,,, the Red Crab,,,,,,,,,,,,,,,,,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argrave the Defiant,Ser,The Mystery Knight,House Butterwell,Nunny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areo Hotah,Sunspear,A Game of Thrones,House Martell,257 AC,,Season 5,Norvos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlan of Pennytree,Ser,The Hedge Knight,,149 AC,209 AC,,,,,,,,,,,,,,,,,,,," a tennée, a winged-chalice argent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
